Concat;Puissance [W];Longueur [mm];Hauteur [mm];Type;Etage;Classe;Local;Consigne;Index
4900-1650-900-33-0-0-7-Classe-1;4900;1650;900;33;0;0-7;Classe;19;1
6100-2400-900-33-0-0-7-Classe-2;6100;2400;900;33;0;0-7;Classe;19;2
4300-1650-900-33-0-0-8-Classe-3;4300;1650;900;33;0;0-8;Classe;19;3
6100-2400-900-33-0-0-8-Classe-4;6100;2400;900;33;0;0-8;Classe;19;4
5150-2100-900-33-0-0-11-Classe-5;5150;2100;900;33;0;0-11;Classe;19;5
5150-2100-900-33-0-0-11-Classe-6;5150;2100;900;33;0;0-11;Classe;19;6
4500-1650-900-33-0-0-12-Classe-7;4500;1650;900;33;0;0-12;Classe;19;7
6100-2400-900-33-0-0-12-Classe-8;6100;2400;900;33;0;0-12;Classe;19;8
5150-2100-900-33-0-0-13-Classe-9;5150;2100;900;33;0;0-13;Classe;19;9
5150-2100-900-33-0-0-13-Classe-10;5150;2100;900;33;0;0-13;Classe;19;10
3200-1350-900-33-0-0-14-Bureau-11;3200;1350;900;33;0;0-14;Bureau;19;11
3200-1350-900-33-0-0-14-Bureau-12;3200;1350;900;33;0;0-14;Bureau;19;12
5250-2250-900-33-1-1-2-Classe-13;5250;2250;900;33;1;01-févr;Classe;19;13
5250-2250-900-33-1-1-2-Classe-14;5250;2250;900;33;1;01-févr;Classe;19;14
4150-1650-900-33-1-1-3-Classe-15;4150;1650;900;33;1;01-mars;Classe;19;15
4150-1650-900-33-1-1-3-Classe-16;4150;1650;900;33;1;01-mars;Classe;19;16
4750-1950-900-33-1-1-4-Classe-17;4750;1950;900;33;1;01-avr;Classe;19;17
4750-1950-900-33-1-1-4-Classe-18;4750;1950;900;33;1;01-avr;Classe;19;18
4900-1950-900-33-1-1-5-Classe-19;4900;1950;900;33;1;01-mai;Classe;19;19
4900-1950-900-33-1-1-5-Classe-20;4900;1950;900;33;1;01-mai;Classe;19;20
4750-1950-900-33-1-1-6-Classe-21;4750;1950;900;33;1;01-juin;Classe;19;21
4750-1950-900-33-1-1-6-Classe-22;4750;1950;900;33;1;01-juin;Classe;19;22
6100-2400-900-33-1-1-7-Classe-23;6100;2400;900;33;1;01-juil;Classe;19;23
3950-2100-600-33-1-1-9-Salle_Prof-24;3950;2100;600;33;1;01-sept;Salle_Prof;19;24
3950-2100-600-33-1-1-9-Salle_Prof-25;3950;2100;600;33;1;01-sept;Salle_Prof;19;25
2000-1200-600-33-1-1-10-Salle_Prof-26;2000;1200;600;33;1;01-oct;Salle_Prof;19;26
